"フィーチャータイプ","Index","Folder","インスタンス数","Filename"
"urf:UseDistrict",2,"urf",2436,"533945_urf_6697_08_op.gml"
"urf:FirePreventionDistrict",1,"urf",641,"533946_urf_6697_08_op.gml"
"urf:UseDistrict",1,"urf",1593,"533946_urf_6697_08_op.gml"
"urf:FirePreventionDistrict",2,"urf",1043,"533945_urf_6697_08_op.gml"
