"日射量[kWh/m2]","年月日","方位_出","方位_入","入り","高度[°]","南中","出"
3.1635447041984004,"2023/1/1",118.3,241.7,60600,30.7,43079,25560
3.1782719677443874,"2023/1/2",118.2,241.8,60660,30.8,43108,25560
3.1930213630361344,"2023/1/3",118.1,241.9,60720,30.9,43135,25560
