年月日,出,方位[°],南中,高度[°],入り,方位[°]00
2023/1/1,7:06,118.3,11:57:59,30.7,16:50,241.7
2023/1/2,7:06,118.2,11:58:28,30.8,16:51,241.8
2023/1/3,7:06,118.1,11:58:55,30.9,16:52,241.9
