"Index","Folder","Filename","フィーチャータイプ","LOD","インスタンス数","面のエラー","面の向き不正","非水密立体","立体のエラー","コード化されていないgml_nameあり"
1,"gen","50304358_gen_6697_f20_op.gml","GenericCityObject",1,1,0,0,0,0,0
2,"gen","50304379_gen_6697_f20_op.gml","GenericCityObject",1,1,0,0,0,0,0
3,"gen","50304389_gen_6697_f20_op.gml","GenericCityObject",1,1,0,0,0,0,0
